Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
10001,,3,1,1,7.4,30-10-17
10002,,3,1,1,7.4,31-10-17
10003,,3,1,1,7.4,01-11-17
10004,,3,1,1,7.4,02-11-17
10005,3,3,1,1,5.2,03-11-17
10006,3,3,1,1,7.4,04-11-17
10007,,3,1,1,7.4,05-11-17
10008,,3,1,1,7.4,06-11-17
10009,,3,1,1,7.4,07-11-17
10010,,3,1,1,7.4,08-11-17
10011,7,3,1,1,7.4,09-11-17
10012,4,3,1,1,7.4,10-11-17
10013,,3,1,1,5.2,11-11-17
10014,4,3,1,1,7.7,12-11-17
10015,1,3,1,1,7.7,13-11-17
10016,,3,1,1,7.7,14-11-17
10017,3,3,1,1,7.7,15-11-17
10018,1,3,1,1,7,16-11-17
10019,,3,1,1,7,17-11-17
10020,1,3,1,1,7,18-11-17
10021,2,3,1,1,7,19-11-17
10022,2,3,1,1,7,20-11-17
10023,,3,1,1,7.4,21-11-17
10024,1,3,1,1,7,22-11-17
10025,3,3,1,1,7,23-11-17
10026,2,3,1,1,7.4,24-11-17
10027,2,3,1,1,7,25-11-17
10028,3,3,1,1,7,26-11-17
10029,2,3,1,1,7,27-11-17
10030,,3,1,1,5.2,28-11-17
10031,,3,1,1,5.2,29-11-17
10032,1,3,1,1,5.2,30-11-17
10033,0,3,1,1,5.2,01-12-17
10034,4,3,1,1,5.2,02-12-17
10035,,3,1,1,5.2,03-12-17
10036,2,3,1,1,6.1,04-12-17
10037,2,3,1,1,2.76,05-12-17
10038,,3,1,1,3.4,06-12-17
10039,,3,1,1,3.4,07-12-17
10040,,3,1,1,3,08-12-17
10041,1,3,1,1,4.95,09-12-17
10042,4,3,1,1,5.77,10-12-17
10043,,3,1,1,5.28,11-12-17
10044,,3,1,1,4.64,12-12-17
10045,2,3,1,1,5.3,13-12-17
10046,2,3,1,1,6.14,14-12-17
10047,7,3,1,1,5.5,15-12-17
10048,3,3,1,1,5.9,16-12-17
10049,,3,1,1,5.45,17-12-17
10050,1,3,1,1,5.3,18-12-17
10051,,3,1,1,5.1,19-12-17
10052,,3,1,1,5.1,20-12-17
10053,,3,1,1,4.16,21-12-17
10054,69,3,1,1,1.9,22-12-17
10055,23,3,1,1,1.9,23-12-17
10056,33,3,1,1,1.9,24-12-17
10057,25,3,1,1,1.9,25-12-17
10058,18,3,1,1,1.9,26-12-17
10059,5,3,1,1,1.9,27-12-17
10060,,3,1,1,1.9,28-12-17
10061,19,3,1,1,1.9,29-12-17
10062,14,3,1,1,1.9,30-12-17
10063,30,3,1,1,1.85,31-12-17
10064,20,3,1,1,1.58,01-01-18
10065,7,3,1,1,1.9,02-01-18
10066,50,3,1,1,1.9,03-01-18
10067,39,3,1,1,1.9,04-01-18
10068,14,3,1,1,1.9,05-01-18
10069,28,3,1,1,1.9,06-01-18
10070,17,3,1,1,1.9,07-01-18
10071,21,3,1,1,1.9,08-01-18
10072,69,3,1,1,1.9,09-01-18
10073,4,3,1,1,1.9,10-01-18
10074,66,3,1,1,1.76,11-01-18
10075,18,3,1,1,1.82,12-01-18
10076,26,3,1,1,1.9,13-01-18
10077,5,3,1,1,1.9,14-01-18
10078,27,3,1,1,1.9,15-01-18
10079,22,3,1,1,1.9,16-01-18
10080,52,3,1,1,1.84,17-01-18
10081,,3,1,1,1.9,18-01-18
10082,73,3,1,1,1.9,19-01-18
10083,,3,1,1,1.9,20-01-18
10084,,3,1,1,1.9,21-01-18
10085,17,3,1,1,2.5,22-01-18
10086,,3,1,1,3.25,23-01-18
10087,19,3,1,1,3.3,24-01-18
10088,,3,1,1,2.4,25-01-18
10089,17,3,1,1,2.4,26-01-18
10090,1,3,1,1,2.4,27-01-18
10091,31,3,1,1,2.4,28-01-18
10092,29,3,1,1,2.4,29-01-18
10093,4,3,1,1,2.4,30-01-18
10094,26,3,1,1,2.4,31-01-18
10095,,3,1,1,2.4,01-02-18
10096,13,3,1,1,2.48,02-02-18
10097,4,3,1,1,2.1,03-02-18
10098,12,3,1,1,2.2,04-02-18
10099,13,3,1,1,2.1,05-02-18
10100,6,3,1,1,2.1,06-02-18
10101,,3,1,1,2.1,07-02-18
10102,7,3,1,1,2.1,08-02-18
10103,5,3,1,1,2.1,09-02-18
10104,25,3,1,1,2.1,10-02-18
10105,,3,1,1,2.1,11-02-18
10106,20,3,1,1,2.1,12-02-18
10107,9,3,1,1,2.1,13-02-18
10108,,3,1,1,2.1,14-02-18
10109,11,3,1,1,2.1,15-02-18
10110,9,3,1,1,2.1,16-02-18
10111,2,3,1,1,2.1,17-02-18
10112,20,3,1,1,3,18-02-18
10113,18,3,1,1,3,19-02-18
10114,3,3,1,1,3.5,20-02-18
10115,13,3,1,1,3.42,21-02-18
10116,12,3,1,1,3.5,22-02-18
10117,10,3,1,1,3.5,23-02-18
10118,13,3,1,1,3.5,24-02-18
10119,,3,1,1,3,25-02-18
10120,13,3,1,1,2,26-02-18
10121,2,3,1,1,2,27-02-18
10122,8,3,1,1,2,28-02-18
10123,5,3,1,1,3,01-03-18
10124,,3,1,1,3,02-03-18
10125,17,3,1,1,3,03-03-18
10126,12,3,1,1,2,04-03-18
10127,26,3,1,1,3,05-03-18
10128,,3,1,1,3,06-03-18
10129,50,3,1,1,9,07-03-18
10130,46,3,1,1,8,08-03-18
10131,9,3,1,1,3.8,09-03-18
10132,94,3,1,1,7,10-03-18
10133,34,3,1,1,8,11-03-18
10134,122,3,1,1,7,12-03-18
10135,18,3,1,1,8,13-03-18
10136,,3,1,1,8,14-03-18
10137,,3,1,1,7,15-03-18
10138,26,3,1,1,3,16-03-18
10139,30,3,1,1,4.5,17-03-18
10140,,3,1,1,4,18-03-18
10141,17,3,1,1,3.44,19-03-18
10142,36,3,1,1,2.33,20-03-18
10143,5,3,1,1,2.52,21-03-18
10144,4,3,1,1,3.31,22-03-18
10145,14,3,1,1,5,23-03-18
10146,10,3,1,1,7.86,24-03-18
10147,52,3,1,1,4.61,25-03-18
10148,10,3,1,1,6,26-03-18
10149,,3,1,1,6,27-03-18
10150,23,3,1,1,4,28-03-18
10151,1,3,1,1,4,29-03-18
10152,101,3,1,1,2.8,30-03-18
10153,8,3,1,1,5,31-03-18
10154,9,3,1,1,9,01-04-18
10155,9,3,1,1,8.75,02-04-18
10156,14,3,1,1,2,03-04-18
10157,0,3,1,1,1.9,04-04-18
10158,6,3,1,1,2,05-04-18
10159,24,3,1,1,1.91,06-04-18
10160,7,3,1,1,1.9,07-04-18
10161,45,3,1,1,0.5,08-04-18
10162,109,3,1,1,1,09-04-18
10163,25,3,1,1,1.5,10-04-18
10164,215,3,1,1,0.44,11-04-18
10165,38,3,1,1,2.39,12-04-18
10166,,3,1,1,2,13-04-18
10167,22,3,1,1,1.3,14-04-18
10168,,3,1,1,2,15-04-18
10169,32,3,1,1,1.54,16-04-18
10170,55,3,1,1,1.54,17-04-18
10171,32,3,1,1,1.16,18-04-18
10172,4,3,1,1,1.33,19-04-18
10173,85,3,1,1,2.17,20-04-18
10174,18,3,1,1,1.21,21-04-18
10175,51,3,1,1,1.17,22-04-18
10176,4,3,1,1,1.09,23-04-18
10177,20,3,1,1,1.16,24-04-18
10178,,3,1,1,1.54,25-04-18
10179,,3,1,1,1.54,26-04-18
10180,14,3,1,1,1.83,27-04-18
10181,13,3,1,1,1.35,28-04-18
10182,17,3,1,1,0.5,29-04-18
10183,11,3,1,1,0.63,30-04-18
10184,27,3,1,1,8,01-05-18
10185,7,3,1,1,1.5,02-05-18
10186,29,3,1,1,0.68,03-05-18
10187,,3,1,1,1.5,04-05-18
10188,124,3,1,1,2.38,05-05-18
10189,4,3,1,1,1.2,06-05-18
10190,4,3,1,1,2.25,07-05-18
10191,14,3,1,1,0.5,08-05-18
10192,,3,1,1,2.84,09-05-18
10193,33,3,1,1,3.5,10-05-18
10194,13,3,1,1,3.5,11-05-18
10195,3,3,1,1,2.06,12-05-18
10196,5,3,1,1,5.95,13-05-18
10197,1,3,1,1,6.41,14-05-18
10198,131,3,1,1,1.92,15-05-18
10199,26,3,1,1,2.4,16-05-18
10200,76,3,1,1,2.39,17-05-18
10201,,3,1,1,1.6,18-05-18
10202,107,3,1,1,0.68,19-05-18
10203,296,3,1,1,0.52,20-05-18
10204,58,3,1,1,2.41,21-05-18
10205,,3,1,1,0.75,22-05-18
10206,39,3,1,1,1.5,23-05-18
10207,624,3,1,1,0.16,24-05-18
10208,12,3,1,1,0.68,25-05-18
10209,0,3,1,1,1.92,26-05-18
10210,16,3,1,1,1.5,27-05-18
10211,9,3,1,1,2.39,28-05-18
10212,14,3,1,1,1.81,29-05-18
10213,56,3,1,1,0.25,30-05-18
10214,8,3,1,1,3.56,31-05-18
10215,8,3,1,1,0.5,01-06-18
10216,29,3,1,1,3,02-06-18
10217,37,3,1,1,0.85,03-06-18
10218,3,3,1,1,15.61,04-06-18
10219,5,3,1,1,5.3,05-06-18
10220,10,3,1,1,5,06-06-18
10221,7,3,1,1,5,07-06-18
10222,6,3,1,1,10.45,08-06-18
10223,10,3,1,1,7.5,09-06-18
10224,9,3,1,1,8.05,10-06-18
10225,4,3,1,1,12,11-06-18
10226,9,3,1,1,15,12-06-18
10227,7,3,1,1,10,13-06-18
10228,0,3,1,1,9.5,14-06-18
10229,1,3,1,1,28,15-06-18
10230,5,3,1,1,30.68,16-06-18
10231,5,3,1,1,41.1,17-06-18
10232,8,3,1,1,21.43,18-06-18
10233,5,3,1,1,18.78,19-06-18
10234,0,3,1,1,14,20-06-18
10235,7,3,1,1,12,21-06-18
10236,2,3,1,1,14,22-06-18
10237,3,3,1,1,15,23-06-18
10238,6,3,1,1,8.3,24-06-18
10239,6,3,1,1,14,25-06-18
10240,4,3,1,1,13.5,26-06-18
10241,21,3,1,1,14.78,27-06-18
10242,32,3,1,1,0.5,28-06-18
10244,7,3,1,1,5,29-06-18
10245,0,3,1,1,5.8,30-06-18
10246,2,3,1,1,5,01-07-18
10247,2,3,1,1,9.5,02-07-18
10248,4,3,1,1,9.5,03-07-18
10249,1,3,1,1,3,04-07-18
10250,20,3,1,1,2.73,05-07-18
10251,22,3,1,1,3.93,06-07-18
10252,0,3,1,1,1.5,07-07-18
10253,11,3,1,1,6,08-07-18
10254,3,3,1,1,4,09-07-18
10255,6,3,1,1,1.04,10-07-18
10256,38,3,1,1,10.02,11-07-18
10257,23,3,1,1,8.75,12-07-18
10258,8,3,1,1,6.84,13-07-18
10259,10,3,1,1,5.25,14-07-18
10260,59,3,1,1,3.19,15-07-18
10261,9,3,1,1,4.62,16-07-18
10262,36,3,1,1,6.36,17-07-18
10263,30,3,1,1,6.21,18-07-18
10264,18,3,1,1,2,19-07-18
10265,0,3,1,1,5.26,20-07-18
10266,0,3,1,1,5.26,21-07-18
10267,0,3,1,1,5.26,22-07-18
10268,2,3,1,1,5.26,23-07-18
10269,0,3,1,1,5.26,24-07-18
10270,0,3,1,1,4.78,25-07-18
10271,0,3,1,1,4.78,26-07-18
10272,0,3,1,1,4.78,27-07-18
10273,0,3,1,1,4.78,28-07-18
10274,0,3,1,1,4.78,29-07-18
10275,9,3,1,1,6.05,30-07-18
10276,8,3,1,1,6.05,31-07-18
10277,6,3,1,1,6.05,01-08-18
10278,3,3,1,1,6.05,02-08-18
10279,5,3,1,1,6.05,03-08-18
10280,5,3,1,1,6.05,04-08-18
10281,8,3,1,1,6.05,05-08-18
10282,54,3,1,1,2.71,06-08-18
10283,13,3,1,1,2.87,07-08-18
10284,59,3,1,1,5.73,08-08-18
10285,24,3,1,1,2.06,09-08-18
10286,14,3,1,1,4.95,10-08-18
10287,7,3,1,1,4.95,11-08-18
10288,9,3,1,1,4.95,12-08-18
10289,5,3,1,1,4.95,13-08-18
10290,3,3,1,1,4.94,14-08-18
10291,0,3,1,1,4,15-08-18
10292,36,3,1,1,2.7,16-08-18
10293,0,3,1,1,1.54,17-08-18
10294,0,3,1,1,3.4,18-08-18
10295,4,3,1,1,2,19-08-18
10296,32,3,1,1,0.83,20-08-18
10297,0,3,1,1,0.5,21-08-18
10298,17,3,1,1,0.92,22-08-18
10299,43,3,1,1,3.42,23-08-18
10300,0,3,1,1,2.58,24-08-18
10301,0,3,1,1,1.5,25-08-18
10303,38,3,1,1,1.94,26-08-18
10304,66,3,1,1,1.94,27-08-18
10305,34,3,1,1,1.87,28-08-18
10306,10,3,1,1,1.92,29-08-18
10307,15,3,1,1,2.09,30-08-18
10308,2,3,1,1,2.1,31-08-18
10309,40,3,1,1,2.14,01-09-18
10310,6,3,1,1,1.92,02-09-18
10311,11,3,1,1,4.07,03-09-18
10312,57,3,1,1,3.5,04-09-18
10313,4,3,1,1,27.52,05-09-18
10314,5,3,1,1,13.06,06-09-18
10316,10,3,1,1,7.19,07-09-18
10317,7,3,1,1,8.14,08-09-18
10318,8,3,1,1,7.19,09-09-18
10319,8,3,1,1,7.98,10-09-18
10320,4,3,1,1,11.79,11-09-18
